,CustomerContinent,ProductCategory,dateOfPurchase,TotalQuantity,TotalRevenue,AvgPrice,MedPrice,AvgCost,AvgDiscount
0,Africa,Automotive,2016-01,1,961.27,991.0,991.0,307.21000000000004,0.03
1,Africa,Automotive,2016-02,22,6736.86,323.0,269.0,195.56000000000003,0.05000000000000001
2,Africa,Automotive,2016-03,10,6633.200000000001,721.0,721.0,591.22,0.08
3,Africa,Automotive,2016-04,23,10619.63,507.75,504.5,258.9825,0.057499999999999996
4,Africa,Automotive,2016-05,18,8175.080000000001,479.25,437.5,238.255,0.065
5,Africa,Automotive,2016-06,9,6512.58,746.0,746.0,537.12,0.03
6,Africa,Automotive,2016-09,13,4185.09,385.0,385.0,259.69,0.09
7,Africa,Automotive,2016-10,6,264.96,46.0,46.0,14.72,0.04
8,Africa,Automotive,2016-11,18,7119.24,541.6666666666666,787.0,433.4166666666667,0.04666666666666667
9,Africa,Automotive,2016-12,27,10511.560000000001,466.0,484.0,279.1666666666667,0.07666666666666667
10,Africa,Automotive,2017-01,10,3734.3999999999996,389.0,389.0,248.96,0.04
11,Africa,Automotive,2017-02,39,12173.57,418.7142857142857,399.0,231.75285714285715,0.07571428571428572
12,Africa,Automotive,2017-03,8,902.52,244.0,244.0,80.97,0.065
13,Africa,Automotive,2017-04,16,11343.45,822.6666666666666,925.0,417.71999999999997,0.04666666666666667
14,Africa,Automotive,2017-05,13,5098.370000000001,519.5,519.5,400.995,0.08499999999999999
15,Africa,Automotive,2017-06,8,3659.08,462.25,485.0,302.90250000000003,0.04
16,Africa,Automotive,2017-07,29,8558.8,305.25,320.0,117.975,0.045
17,Africa,Automotive,2017-08,16,785.8,53.5,53.5,24.119999999999997,0.08
18,Africa,Automotive,2017-09,15,9235.0,640.0,640.0,513.65,0.07500000000000001
19,Africa,Automotive,2017-10,16,2264.52,126.5,126.5,98.27,0.060000000000000005
20,Africa,Automotive,2017-12,13,6571.42,467.0,467.0,226.63,0.04
21,Africa,Automotive,2018-01,9,1231.23,159.0,159.0,112.575,0.045
22,Africa,Automotive,2018-02,8,4884.48,600.0,600.0,307.91999999999996,0.07
23,Africa,Automotive,2018-03,12,4216.46,377.0,265.0,241.33,0.049999999999999996
24,Africa,Automotive,2018-04,10,3504.6,354.0,354.0,88.5,0.01
25,Africa,Automotive,2018-05,25,16170.56,532.0,435.0,255.122,0.066
26,Africa,Automotive,2018-06,5,2244.2,458.0,458.0,105.33999999999996,0.02
27,Africa,Automotive,2018-07,9,5716.299999999999,608.0,740.0,304.1933333333333,0.04
28,Africa,Automotive,2018-08,18,13554.62,684.3333333333334,779.0,224.5233333333334,0.05333333333333334
29,Africa,Automotive,2018-09,9,3605.1299999999997,482.0,685.0,281.2766666666667,0.049999999999999996
30,Africa,Automotive,2018-10,18,9995.849999999999,572.5,572.5,300.48,0.03
31,Africa,Automotive,2018-11,14,11804.46,840.0,863.0,218.30000000000004,0.02
32,Africa,Automotive,2018-12,7,5203.8,826.0,826.0,223.02,0.1
33,Africa,Automotive,2019-01,3,2262.69,811.0,811.0,616.36,0.07
34,Africa,Automotive,2019-02,11,7667.67,588.0,588.0,246.26999999999998,0.065
35,Africa,Automotive,2019-03,49,26881.05,517.375,475.5,266.85375,0.0625
36,Africa,Automotive,2019-04,20,15699.489999999998,546.75,597.0,272.7975,0.045
37,Africa,Automotive,2019-05,19,10007.8,574.0,492.0,292.73,0.068
38,Africa,Automotive,2019-06,21,15715.18,834.5,895.5,355.3,0.0575
39,Africa,Automotive,2019-07,13,7683.49,655.3333333333334,891.0,323.1966666666667,0.06666666666666667
40,Africa,Automotive,2019-08,48,28240.2,584.6666666666666,573.0,341.61555555555555,0.06888888888888889
41,Africa,Automotive,2019-09,32,12945.269999999999,384.25,343.0,300.42,0.055
42,Africa,Automotive,2019-10,15,11951.369999999999,861.5,861.5,258.575,0.049999999999999996
43,Africa,Automotive,2019-12,5,3540.5,730.0,730.0,394.2,0.03
44,Africa,Automotive,2020-01,11,4073.96,376.5,376.5,241.875,0.06
45,Africa,Automotive,2020-02,7,4472.37,687.0,687.0,563.34,0.07
46,Africa,Automotive,2020-03,10,7273.07,690.5,690.5,415.095,0.045
47,Africa,Automotive,2020-04,18,9143.16,582.6666666666666,535.0,192.61333333333332,0.049999999999999996
48,Africa,Automotive,2020-05,14,4379.9,462.3333333333333,349.0,242.46,0.06
49,Africa,Automotive,2020-06,7,5783.82,879.0,879.0,562.56,0.06
50,Africa,Automotive,2020-07,34,6836.0199999999995,213.8,151.0,81.61200000000001,0.07
51,Africa,Automotive,2020-08,11,6232.86,625.5,625.5,319.44,0.07
52,Africa,Automotive,2020-09,14,7594.85,527.0,527.0,367.83500000000004,0.055
53,Africa,Automotive,2020-10,15,3085.8300000000004,197.0,197.0,45.135,0.01
54,Africa,Automotive,2020-11,14,6208.959999999999,388.5,388.5,140.32,0.05
55,Africa,Automotive,2020-12,18,8470.33,533.5,451.5,312.8975,0.05
56,Africa,Baby,2016-01,28,7921.629999999999,304.0,112.0,111.26200000000001,0.052000000000000005
57,Africa,Baby,2016-02,37,14261.16,423.4,480.0,196.23399999999998,0.08
58,Africa,Baby,2016-03,39,23021.46,583.2,640.0,319.236,0.054000000000000006
59,Africa,Baby,2016-04,6,190.07999999999998,33.0,33.0,21.78,0.04
60,Africa,Baby,2016-05,3,1415.88,513.0,513.0,153.89999999999998,0.08
61,Africa,Baby,2016-06,19,7291.74,397.5,397.5,190.27,0.045000000000000005
62,Africa,Baby,2016-07,4,1859.62,388.0,388.0,187.07999999999998,0.07
63,Africa,Baby,2016-08,32,12001.589999999998,356.5,293.0,193.76833333333335,0.04833333333333334
64,Africa,Baby,2016-09,24,12862.7,534.2857142857143,425.0,294.26000000000005,0.06999999999999999
65,Africa,Baby,2016-10,7,5567.9400000000005,889.0,889.0,637.225,0.09
66,Africa,Baby,2016-11,6,3463.8599999999997,443.6666666666667,425.0,217.32666666666668,0.049999999999999996
67,Africa,Baby,2016-12,9,5511.22,537.3333333333334,477.0,427.98,0.06333333333333334
68,Africa,Baby,2017-01,20,9027.42,454.6666666666667,425.0,190.95333333333335,0.04
69,Africa,Baby,2017-02,39,21594.42,583.6,504.0,268.412,0.06
70,Africa,Baby,2017-03,14,10671.77,754.0,754.0,563.25,0.055
71,Africa,Baby,2017-04,19,7070.31,425.6666666666667,479.0,244.35666666666665,0.06333333333333334
72,Africa,Baby,2017-05,3,1094.94,447.0,447.0,130.29000000000002,0.065
73,Africa,Baby,2017-06,21,11368.14,565.6666666666666,575.0,244.29333333333338,0.05666666666666667
74,Africa,Baby,2017-07,3,900.5999999999999,316.0,316.0,167.48,0.05
75,Africa,Baby,2017-08,11,6136.58,577.5,577.5,250.26500000000001,0.05
76,Africa,Baby,2017-09,30,18660.72,630.4,666.0,241.13599999999997,0.046
77,Africa,Baby,2017-10,19,12245.630000000001,715.6666666666666,734.0,246.64,0.043333333333333335
78,Africa,Baby,2017-11,7,5085.88,602.5,602.5,436.335,0.04
