,CustomerContinent,ProductCategory,dateOfPurchase,TotalQuantity,TotalRevenue
0,Africa,Automotive,2016-01,1.0,961.27
1,Africa,Automotive,2016-02,22.0,6736.86
2,Africa,Automotive,2016-03,10.0,6633.200000000001
3,Africa,Automotive,2016-04,23.0,10619.63
4,Africa,Automotive,2016-05,18.0,8175.080000000001
5,Africa,Automotive,2016-06,9.0,6512.58
6,Africa,Automotive,2016-09,13.0,4185.09
7,Africa,Automotive,2016-10,6.0,264.96
8,Africa,Automotive,2016-11,18.0,7119.24
9,Africa,Automotive,2016-12,27.0,10511.560000000001
10,Africa,Automotive,2017-01,10.0,3734.3999999999996
11,Africa,Automotive,2017-02,39.0,12173.57
12,Africa,Automotive,2017-03,8.0,902.52
13,Africa,Automotive,2017-04,16.0,11343.45
14,Africa,Automotive,2017-05,13.0,5098.370000000001
15,Africa,Automotive,2017-06,8.0,3659.08
16,Africa,Automotive,2017-07,29.0,8558.8
17,Africa,Automotive,2017-08,16.0,785.8
18,Africa,Automotive,2017-09,15.0,9235.0
19,Africa,Automotive,2017-10,16.0,2264.52
20,Africa,Automotive,2017-12,13.0,6571.42
21,Africa,Automotive,2018-01,9.0,1231.23
22,Africa,Automotive,2018-02,8.0,4884.48
23,Africa,Automotive,2018-03,12.0,4216.46
24,Africa,Automotive,2018-04,10.0,3504.6
25,Africa,Automotive,2018-05,25.0,16170.56
26,Africa,Automotive,2018-06,5.0,2244.2
27,Africa,Automotive,2018-07,9.0,5716.299999999999
28,Africa,Automotive,2018-08,18.0,13554.62
29,Africa,Automotive,2018-09,9.0,3605.1299999999997
30,Africa,Automotive,2018-10,18.0,9995.849999999999
31,Africa,Automotive,2018-11,14.0,11804.46
32,Africa,Automotive,2018-12,7.0,5203.8
33,Africa,Automotive,2019-01,3.0,2262.69
34,Africa,Automotive,2019-02,11.0,7667.67
35,Africa,Automotive,2019-03,49.0,26881.05
36,Africa,Automotive,2019-04,20.0,15699.489999999998
37,Africa,Automotive,2019-05,19.0,10007.8
38,Africa,Automotive,2019-06,21.0,15715.18
39,Africa,Automotive,2019-07,13.0,7683.49
40,Africa,Automotive,2019-08,48.0,28240.2
41,Africa,Automotive,2019-09,32.0,12945.269999999999
42,Africa,Automotive,2019-10,15.0,11951.369999999999
43,Africa,Automotive,2019-12,5.0,3540.5
44,Africa,Automotive,2020-01,11.0,4073.96
45,Africa,Automotive,2020-02,7.0,4472.37
46,Africa,Automotive,2020-03,10.0,7273.07
47,Africa,Automotive,2020-04,18.0,9143.16
48,Africa,Automotive,2020-05,14.0,4379.9
49,Africa,Automotive,2020-06,7.0,5783.82
50,Africa,Automotive,2020-07,34.0,6836.0199999999995
51,Africa,Automotive,2020-08,11.0,6232.86
52,Africa,Automotive,2020-09,14.0,7594.85
53,Africa,Automotive,2020-10,15.0,3085.8300000000004
54,Africa,Automotive,2020-11,14.0,6208.959999999999
55,Africa,Automotive,2020-12,18.0,8470.33
56,Africa,Automotive,2016-07,,
57,Africa,Automotive,2016-08,,
58,Africa,Automotive,2017-11,,
59,Africa,Automotive,2019-11,,
60,Africa,Baby,2016-01,28.0,7921.629999999999
61,Africa,Baby,2016-02,37.0,14261.16
62,Africa,Baby,2016-03,39.0,23021.46
63,Africa,Baby,2016-04,6.0,190.07999999999998
64,Africa,Baby,2016-05,3.0,1415.88
65,Africa,Baby,2016-06,19.0,7291.74
66,Africa,Baby,2016-09,24.0,12862.7
67,Africa,Baby,2016-10,7.0,5567.9400000000005
68,Africa,Baby,2016-11,6.0,3463.8599999999997
69,Africa,Baby,2016-12,9.0,5511.22
70,Africa,Baby,2017-01,20.0,9027.42
71,Africa,Baby,2017-02,39.0,21594.42
72,Africa,Baby,2017-03,14.0,10671.77
73,Africa,Baby,2017-04,19.0,7070.31
74,Africa,Baby,2017-05,3.0,1094.94
75,Africa,Baby,2017-06,21.0,11368.14
76,Africa,Baby,2017-07,3.0,900.5999999999999
77,Africa,Baby,2017-08,11.0,6136.58
78,Africa,Baby,2017-09,30.0,18660.72
79,Africa,Baby,2017-10,19.0,12245.630000000001
80,Africa,Baby,2017-12,29.0,18041.54
81,Africa,Baby,2018-01,9.0,3177.54
82,Africa,Baby,2018-02,16.0,10827.240000000002
83,Africa,Baby,2018-03,9.0,1728.7199999999998
84,Africa,Baby,2018-04,6.0,3461.7599999999998
85,Africa,Baby,2018-05,29.0,14976.099999999999
86,Africa,Baby,2018-06,9.0,6258.57
87,Africa,Baby,2018-07,22.0,14002.809999999998
88,Africa,Baby,2018-08,,
89,Africa,Baby,2018-09,14.0,7093.37
90,Africa,Baby,2018-10,,
91,Africa,Baby,2018-11,29.0,9192.33
92,Africa,Baby,2018-12,38.0,9566.15
93,Africa,Baby,2019-01,1.0,838.0799999999999
94,Africa,Baby,2019-02,12.0,9853.279999999999
95,Africa,Baby,2019-03,,
96,Africa,Baby,2019-04,9.0,2778.75
97,Africa,Baby,2019-05,26.0,12813.06
98,Africa,Baby,2019-06,40.0,26339.1
99,Africa,Baby,2019-07,10.0,7008.349999999999
100,Africa,Baby,2019-08,13.0,4166.099999999999
101,Africa,Baby,2019-09,4.0,1915.0
102,Africa,Baby,2019-10,16.0,7004.6
103,Africa,Baby,2019-12,14.0,8371.17
104,Africa,Baby,2020-01,3.0,1569.75
105,Africa,Baby,2020-02,24.0,17633.28
106,Africa,Baby,2020-03,21.0,7634.54
107,Africa,Baby,2020-04,27.0,18003.03
108,Africa,Baby,2020-05,14.0,6552.59
109,Africa,Baby,2020-06,3.0,2883.87
110,Africa,Baby,2020-07,7.0,2134.4399999999996
111,Africa,Baby,2020-08,10.0,3885.05
112,Africa,Baby,2020-09,3.0,1779.96
113,Africa,Baby,2020-10,,
114,Africa,Baby,2020-11,18.0,2503.01
115,Africa,Baby,2020-12,17.0,6667.82
116,Africa,Baby,2016-07,4.0,1859.62
117,Africa,Baby,2016-08,32.0,12001.589999999998
118,Africa,Baby,2017-11,7.0,5085.88
119,Africa,Baby,2019-11,6.0,4441.68
120,Africa,Beauty,2016-01,5.0,1852.3
121,Africa,Beauty,2016-02,1.0,576.9
122,Africa,Beauty,2016-03,33.0,20318.41
123,Africa,Beauty,2016-04,36.0,26408.97
124,Africa,Beauty,2016-05,9.0,2837.88
125,Africa,Beauty,2016-06,13.0,9021.15
126,Africa,Beauty,2016-09,,
127,Africa,Beauty,2016-10,34.0,19258.73
128,Africa,Beauty,2016-11,7.0,1826.51
129,Africa,Beauty,2016-12,5.0,768.95
130,Africa,Beauty,2017-01,39.0,14365.62
131,Africa,Beauty,2017-02,,
132,Africa,Beauty,2017-03,14.0,7136.25
133,Africa,Beauty,2017-04,8.0,4756.88
134,Africa,Beauty,2017-05,3.0,1490.5800000000002
135,Africa,Beauty,2017-06,2.0,660.6
136,Africa,Beauty,2017-07,5.0,2035.1
137,Africa,Beauty,2017-08,11.0,7389.349999999999
138,Africa,Beauty,2017-09,28.0,5680.21
139,Africa,Beauty,2017-10,22.0,8861.12
140,Africa,Beauty,2017-12,3.0,2561.28
141,Africa,Beauty,2018-01,17.0,10885.77
142,Africa,Beauty,2018-02,9.0,2269.7999999999997
